Pytanie,Odpowiedź poprawna,Odpowiedź błędna 1,Odpowiedź błędna 2,Odpowiedź błędna 3
Aby przejść w tryb chroniony z trybu rzeczywistego NIE trzeba,Ustawić bit 0x8000 (PG) w rejestrze CR0,Ustawić bit 0x0001 (PE) w rejestrze CR0,Ustawić lokalizacje i rozmiar GDT w rejestrze GDTR,Wpisać indeks wpisu GDT oraz bity pól LDT/GDT i RPL do rejestrów segmentowych
Zaznacz prawidłową informację dotyczącą rejestru GDTR w trybie 32-bitowym,"Posiada 48 bitów, z czego 32 bity na adres liniowy tablicy GDT, a 16 bitów na jej rozmiar","Posiada 48 bitów, z czego 32 bity na rozmiar tablicy GDT, a 16 bitów na jej adres liniowy","Posiada 32 bity, z czego 24 bity na adres liniowy tablicy GDT, a 8 bitów na jej rozmiar","Posiada 32 bity, z czego 8 bitów na adres liniowy tablicy GDT, a 24 bity na jej rozmiar"
Jakie usługi jest udostępniana przez UEFI i możliwa do wykorzystania przed przejęciem sterowania przez system operacyjny?,Boot Services oraz Runtime Services,Tylko Boot Services,Tylko Runtime Services,Żadna z wymienionych
W jakim rejestrze zapisany jest adres katalogu stron?,CR3,CR0,CR1,CR2
Jaka metoda przydziału miejsca na dysku jest używana w systemie FAT16?,listowa,ciągła,indeksowa,drzewiasta
Gdzie w pamięci ROM-BIOS znajduje się BIOS?,F000:0000 - FFFF:FFFF,0000:0000 - FFFF:FFFF,F000:0000 - FFFF:0000,F000:0000 - F000:FFFF
Aktualnie wykonywany kod programu ma przypisany poziom uprzywilejowania oznaczony jako...,CPL,RPL,DPL,GDR
Gdzie obecnie jest wykorzystywana metoda ciągłego przydziału miejsca na dysku?,W systemach wbudowanych takich jak mikrokontrolery czy urządzenia IoT (Internet of Things),W systemach operacyjnych takich jak Windows i Linux,W systemach bazodanowych opartych na technologii noSQL,Nie jest ona wykorzystywana
Jaki jest odpowiadający adres CHS dla logicznego adresu LBA 0?,"Cylinder 0, Głowica 0, Sektor 1","Cylinder 1, Głowica 1, Sektor 1","Cylinder 0, Głowica 1, Sektor 1","Cylinder 1, Głowica 0, Sektor 1"
Co przechowuje MFT (Master File Table) w systemie plików NTFS?,Metadane wszystkich plików na dysku,Mapę bitową dostępności wszystkich klastrów na dysku,Sektor ładujący,Kopię zapasową fragmentu MFT (MFT Mirror)
